full_name,rating,jersey,team,position,b_day,height (m),weight (lbs),salary,country,draft_year,draft_round,draft_peak,college
Denzel Valentine,74,#45,Chicago Bulls,G,11/16/93,1.93,210,3377568.00,USA,2016,1,14,Michigan State
Robert Williams,74,#44,Boston Celtics,F-C,10/17/97,2.03,237,1937520.00,USA,2018,1,27,Texas A&M
Christian Wood,74,#35,Detroit Pistons,F,9/27/95,2.08,216,1645357.00,USA,2015,Undrafted,Undrafted,UNLV
Jaxson Hayes,74,#10,New Orleans Pelicans,F-C,5/23/00,2.11,220,4862040.00,USA,2019,1,8,Texas
Rui Hachimura,74,#8,Washington Wizards,F,2/8/98,2.03,225,4469160.00,Japan,2019,1,9,Gonzaga
OG Anunoby,73,#3,Toronto Raptors,F-G,7/17/97,2.01,232,2281800.00,United Kingdom,2017,1,23,Indiana
Dwayne Bacon,73,#7,Charlotte Hornets,G,8/30/95,1.98,220,1618520.00,USA,2017,2,40,Florida State
DeAndre Bembry,73,#95,Atlanta Hawks,F,7/4/94,1.96,207,2603981.00,USA,2016,1,21,Saint Joseph's
Jonah Bolden,73,#0,Phoenix Suns,F,1/2/96,2.03,215,1788296.00,Australia,2017,2,36,UCLA
Sterling Brown,73,#23,Milwaukee Bucks,G,2/10/95,1.96,230,1618520.00,USA,2017,2,46,SMU
Bruce Brown,73,#6,Detroit Pistons,G,8/15/96,1.93,190,1416852.00,USA,2018,2,42,Miami (Florida)
Troy Brown,73,#6,Washington Wizards,F-G,7/28/99,1.98,215,3219480.00,USA,2018,1,15,Oregon
Alec Burks,73,#0,Philadelphia 76ers,G,7/20/91,1.98,195,2320044.00,USA,2011,1,12,Colorado
Alex Caruso,73,#4,Los Angeles Lakers,G,2/28/94,1.96,186,2750000.00,USA,2016,Undrafted,Undrafted,Texas A&M
Tyson Chandler,73,#19,Houston Rockets,C,10/2/82,2.13,235,2564753.00,USA,2001,1,2,
Allen Crabbe,73,#0,,G-F,4/9/92,1.96,197,17818456.00,USA,2013,2,31,California
Matthew Dellavedova,73,#18,Cleveland Cavaliers,G,9/8/90,1.91,190,9607500.00,Australia,2013,Undrafted,Undrafted,Saint Mary's
